"id","mz_ratio","intensity"
"1-methoxyphenazine M+H",196.065918,446
"1-methoxyphenazine M+H",196.066681,393
"2-nonyl 4-quinolone M+H",132.180603,6647.898438
"2-nonyl 4-quinolone M+H",146.131531,12536.833984
"2-nonyl 4-quinolone M+H",159.104706,389369.1875
"2-nonyl 4-quinolone M+H",160.111298,45667.277344
"2-nonyl 4-quinolone M+H",161.120224,6886.200684
"2-nonyl 4-quinolone M+H",162.111343,5473.596191
"2-nonyl 4-quinolone M+H",171.579834,4007.15625
"2-nonyl 4-quinolone M+H",172.105011,149653.765625
"2-nonyl 4-quinolone M+H",173.100616,31592.40625
"2-nonyl 4-quinolone M+H",174.08606,27829.369141
"2-nonyl 4-quinolone M+H",185.104736,6069.688965
"2-nonyl 4-quinolone M+H",186.072723,37259.269531
"2-nonyl 4-quinolone M+H",187.079514,15160.624023
"2-nonyl 4-quinolone M+H",188.073212,15700.194336
"2-nonyl 4-quinolone M+H",200.077621,6454.203613
"2-nonyl 4-quinolone M+H",202.078644,4192.003418
"2-nonyl 4-quinolone M+H",214.055679,4119.199707
"2-nonyl 4-quinolone M+H",272.065247,222512.1875
"phenazine-1-carboxamide M+H",181.090912,19.693878
"phenazine-1-carboxamide M+H",196,24.068176
"phenazine-1-carboxamide M+H",196.090912,28.718042
"phenazine-1-carboxamide M+H",196.181824,24.330441
"phenazine-1-carboxamide M+H",206.545456,34.804668
"phenazine-1-carboxamide M+H",206.636368,105.134552
"phenazine-1-carboxamide M+H",206.72728,301.072632
"phenazine-1-carboxamide M+H",206.818192,686.879211
"phenazine-1-carboxamide M+H",206.909088,1233.073853
"phenazine-1-carboxamide M+H",207,1736.085693
"phenazine-1-carboxamide M+H",207.090912,1823.437744
"phenazine-1-carboxamide M+H",207.181824,1382.299805
"phenazine-1-carboxamide M+H",207.272736,745.653809
"phenazine-1-carboxamide M+H",207.363647,276.052124
"phenazine-1-carboxamide M+H",207.454544,64.452454
"Jamaicamide A M+H",182.256866,164.130707
"Jamaicamide A M+H",230.243042,626.276001
"Jamaicamide A M+H",231.234314,93.973831
"Jamaicamide A M+H",257.163269,57.072823
"Jamaicamide A M+H",258.186371,156.187683
"Jamaicamide A M+H",259.19928,62.118698
"Jamaicamide A M+H",266.263184,102.35392
"Jamaicamide A M+H",273.170227,69.712013
"Jamaicamide A M+H",321.193848,118.753975
"Jamaicamide A M+H",344.378387,70.022957
"Jamaicamide A M+H",355.119263,89.725563
"Jamaicamide A M+H",356.065643,91.137451
"Jamaicamide A M+H",369.205383,114.937584
"Jamaicamide A M+H",376.151001,442.734985
"Jamaicamide A M+H",377.343536,124.302216
"Jamaicamide A M+H",384.113983,199.962799
"Jamaicamide A M+H",407.259644,75.909798
"Jamaicamide A M+H",408.160461,377.788818
"Jamaicamide A M+H",409.929016,73.355743
"Jamaicamide A M+H",412.070465,83.868622
