"id","mz_ratio","intensity"
"1-hydroxyphenazine M+H",76.675079,136
"1-hydroxyphenazine M+H",76.834969,144
"1-hydroxyphenazine M+H",77.169586,110
"1-hydroxyphenazine M+H",77.533363,123
"1-hydroxyphenazine M+H",77.799286,138
"1-hydroxyphenazine M+H",78.072906,138
"1-hydroxyphenazine M+H",78.170616,118
"1-hydroxyphenazine M+H",78.729309,133
"1-hydroxyphenazine M+H",79.676643,129
"1-hydroxyphenazine M+H",79.926659,129
"1-hydroxyphenazine M+H",80.643883,126
"1-hydroxyphenazine M+H",80.735886,149
"1-hydroxyphenazine M+H",80.86628,140
"1-hydroxyphenazine M+H",80.975037,120
"1-hydroxyphenazine M+H",81.431335,138
"1-hydroxyphenazine M+H",81.491196,107
"1-hydroxyphenazine M+H",81.688232,129
"1-hydroxyphenazine M+H",81.974518,110
"1-hydroxyphenazine M+H",82.955177,128
"1-hydroxyphenazine M+H",83.100769,115
"1-hydroxyphenazine M+H",83.630402,142
"1-hydroxyphenazine M+H",83.671097,120
"1-hydroxyphenazine M+H",83.859627,126
"1-hydroxyphenazine M+H",84.426071,133
"1-hydroxyphenazine M+H",84.948662,140
"1-hydroxyphenazine M+H",85.4543,138
"1-hydroxyphenazine M+H",85.622002,147
"1-hydroxyphenazine M+H",85.799576,215
"1-hydroxyphenazine M+H",85.84095,173
"1-hydroxyphenazine M+H",86.060249,116
"1-hydroxyphenazine M+H",86.566154,171
"1-hydroxyphenazine M+H",88.125786,134
"1-hydroxyphenazine M+H",88.940163,135
"1-hydroxyphenazine M+H",89.201088,117
"1-hydroxyphenazine M+H",89.215523,113
"1-hydroxyphenazine M+H",89.697739,115
"1-hydroxyphenazine M+H",89.977226,206
"1-hydroxyphenazine M+H",91.065002,106
"1-hydroxyphenazine M+H",91.267059,130
"1-hydroxyphenazine M+H",91.94519,124
"1-hydroxyphenazine M+H",92.239731,127
"1-hydroxyphenazine M+H",92.441849,131
"1-hydroxyphenazine M+H",92.471497,116
"1-hydroxyphenazine M+H",92.97683,132
"1-hydroxyphenazine M+H",94.082985,148
"1-hydroxyphenazine M+H",94.203072,147
"1-hydroxyphenazine M+H",94.86776,125
"1-hydroxyphenazine M+H",95.020042,157
"1-hydroxyphenazine M+H",95.827255,112
"1-hydroxyphenazine M+H",96.688911,122
"1-hydroxyphenazine M+H",96.723564,107
"1-hydroxyphenazine M+H",98.990906,137
"1-hydroxyphenazine M+H",99.01947,132
"1-hydroxyphenazine M+H",99.611366,112
"1-hydroxyphenazine M+H",100.643623,138
"1-hydroxyphenazine M+H",101.069725,121
"1-hydroxyphenazine M+H",101.22049,130
"1-hydroxyphenazine M+H",101.893806,131
"1-hydroxyphenazine M+H",103.135025,140
"1-hydroxyphenazine M+H",103.255936,121
"1-hydroxyphenazine M+H",103.813316,126
"1-hydroxyphenazine M+H",103.836205,128
"1-hydroxyphenazine M+H",105.278885,125
"1-hydroxyphenazine M+H",105.434486,131
"1-hydroxyphenazine M+H",105.962662,158
"1-hydroxyphenazine M+H",106.231049,109
"1-hydroxyphenazine M+H",106.529968,107
"1-hydroxyphenazine M+H",106.647354,106
"1-hydroxyphenazine M+H",107.145149,152
"1-hydroxyphenazine M+H",107.297211,121
"1-hydroxyphenazine M+H",107.325455,116
"1-hydroxyphenazine M+H",107.661674,146
"1-hydroxyphenazine M+H",108.432114,116
"1-hydroxyphenazine M+H",108.480042,127
"1-hydroxyphenazine M+H",108.480118,127
"1-hydroxyphenazine M+H",110.279144,145
"1-hydroxyphenazine M+H",111.058182,112
"1-hydroxyphenazine M+H",111.878922,174
"1-hydroxyphenazine M+H",113.617485,139
"1-hydroxyphenazine M+H",116.019234,146
"1-hydroxyphenazine M+H",116.406517,148
