"id"	"mz_ratio"	"intensity"
"Cyclomarin D M+H"	121.064514	1369.887939
"Cyclomarin D M+H"	122.06916	158.182297
"Cyclomarin D M+H"	128.107132	1315.454956
"Cyclomarin D M+H"	129.108963	153.676407
"Cyclomarin D M+H"	130.076782	249.680893
"Cyclomarin D M+H"	144.079727	182.499802
"Cyclomarin D M+H"	146.059479	1523.380005
"Cyclomarin D M+H"	146.115906	355.017914
"Cyclomarin D M+H"	147.063904	160.136597
"Cyclomarin D M+H"	150.08905	468.240295
"Cyclomarin D M+H"	155.117249	391.231201
"Cyclomarin D M+H"	156.100952	1738.562012
"Cyclomarin D M+H"	157.08078	422.855591
"Cyclomarin D M+H"	160.109848	163.950195
"Cyclomarin D M+H"	174.126816	333.656311
"Cyclomarin D M+H"	183.05481	359.720001
"Cyclomarin D M+H"	183.112564	448.475403
"Cyclomarin D M+H"	184.111603	451.9245
"Cyclomarin D M+H"	185.070175	893.923584
"Cyclomarin D M+H"	185.115082	275.561615
"Cyclomarin D M+H"	189.102051	198.0215
"Cyclomarin D M+H"	198.125702	156.245605
"Cyclomarin D M+H"	199.143936	420.406799
"Cyclomarin D M+H"	199.176712	211.094299
"Cyclomarin D M+H"	200.070923	495.455414
"Cyclomarin D M+H"	201.122559	944.347412
"Cyclomarin D M+H"	202.119629	155.876694
"Cyclomarin D M+H"	210.148422	696.777771
"Cyclomarin D M+H"	211.151733	158.395798
"Cyclomarin D M+H"	217.097473	2635.501953
"Cyclomarin D M+H"	217.129395	1544.515991
"Cyclomarin D M+H"	218.102051	517.443909
"Cyclomarin D M+H"	218.13031	307.388611
"Cyclomarin D M+H"	221.127426	479.292389
"Cyclomarin D M+H"	225.156387	1815.516968
"Cyclomarin D M+H"	226.158615	418.876404
"Cyclomarin D M+H"	227.175201	2535.25293
"Cyclomarin D M+H"	228.177826	544.721619
"Cyclomarin D M+H"	229.18483	166.992493
"Cyclomarin D M+H"	239.211594	1524.642944
"Cyclomarin D M+H"	240.215363	329.187103
"Cyclomarin D M+H"	245.12825	3910.658936
"Cyclomarin D M+H"	246.130447	858.431824
"Cyclomarin D M+H"	249.157669	944.608215
"Cyclomarin D M+H"	250.160233	233.027496
"Cyclomarin D M+H"	253.143387	3955.375
"Cyclomarin D M+H"	254.143967	938.370789
"Cyclomarin D M+H"	257.185669	1677.610962
"Cyclomarin D M+H"	258.18927	382.315186
"Cyclomarin D M+H"	267.206665	460.902588
"Cyclomarin D M+H"	268.208344	160.352905
"Cyclomarin D M+H"	270.159973	195.191406
"Cyclomarin D M+H"	271.15094	193.801804
"Cyclomarin D M+H"	277.15509	840.249329
"Cyclomarin D M+H"	278.159668	178.056793
"Cyclomarin D M+H"	279.1492	235.776093
"Cyclomarin D M+H"	281.128204	792.074829
"Cyclomarin D M+H"	282.134979	176.537094
"Cyclomarin D M+H"	288.169708	184.625107
"Cyclomarin D M+H"	296.141663	193.539597
"Cyclomarin D M+H"	307.144348	540.297302
"Cyclomarin D M+H"	308.149353	196.092194
"Cyclomarin D M+H"	314.149963	599.809387
"Cyclomarin D M+H"	316.16626	3081.961914
"Cyclomarin D M+H"	317.168671	770.168884
"Cyclomarin D M+H"	328.165497	1396.821045
"Cyclomarin D M+H"	328.221985	1382.553955
"Cyclomarin D M+H"	329.169434	482.825989
"Cyclomarin D M+H"	329.225494	362.327209
"Cyclomarin D M+H"	335.17749	400.295105
"Cyclomarin D M+H"	338.242493	394.86441
"Cyclomarin D M+H"	344.196167	794.935181
"Cyclomarin D M+H"	345.206573	366.820007
"Cyclomarin D M+H"	346.179535	738.508118
"Cyclomarin D M+H"	347.199341	327.678894
"Cyclomarin D M+H"	348.198456	159.465302
"Cyclomarin D M+H"	349.191772	1303.300049
"Cyclomarin D M+H"	350.194397	463.408997
"Cyclomarin D M+H"	354.219055	182.089905
"Cyclomarin D M+H"	360.190552	398.985901
"Cyclomarin D M+H"	364.201324	497.670013
"Cyclomarin D M+H"	365.207092	165.0914
"Cyclomarin D M+H"	372.22818	2805.278076
"Cyclomarin D M+H"	373.232361	964.63562
"Cyclomarin D M+H"	374.234344	180.283295
"Cyclomarin D M+H"	375.207245	2487.366943
"Cyclomarin D M+H"	376.212769	1170.28894
"Cyclomarin D M+H"	377.218842	246.628403
"Cyclomarin D M+H"	378.203888	183.1754
"Cyclomarin D M+H"	382.213409	1826.182983
"Cyclomarin D M+H"	383.215973	846.38208
"Cyclomarin D M+H"	392.236481	243.115097
"Cyclomarin D M+H"	399.238953	161.201797
"Cyclomarin D M+H"	400.231049	242.260803
"Cyclomarin D M+H"	404.255066	3201.566895
"Cyclomarin D M+H"	405.257629	1016.961975
"Cyclomarin D M+H"	406.262268	205.658295
"Cyclomarin D M+H"	417.247437	172.201996
"Cyclomarin D M+H"	427.235931	437.394012
"Cyclomarin D M+H"	428.233521	260.077789
"Cyclomarin D M+H"	443.265137	2498.084961
"Cyclomarin D M+H"	444.270264	936.315186
"Cyclomarin D M+H"	445.246918	913.951416
"Cyclomarin D M+H"	446.247528	341.514313
"Cyclomarin D M+H"	453.25412	794.018677
"Cyclomarin D M+H"	454.25769	420.230103
"Cyclomarin D M+H"	455.258209	310.793396
"Cyclomarin D M+H"	473.275574	1568.272949
"Cyclomarin D M+H"	474.278961	677.781494
"Cyclomarin D M+H"	475.29187	9198.02832
"Cyclomarin D M+H"	476.294708	3460.199951
"Cyclomarin D M+H"	477.290253	838.913696
"Cyclomarin D M+H"	478.285583	169.271103
"Cyclomarin D M+H"	483.29657	830.064575
"Cyclomarin D M+H"	484.298187	288.257996
"Cyclomarin D M+H"	505.299683	338.91391
"Cyclomarin D M+H"	509.312317	181.515594
"Cyclomarin D M+H"	519.33313	3679.756104
"Cyclomarin D M+H"	520.336243	1869.86499
"Cyclomarin D M+H"	521.337891	431.889893
"Cyclomarin D M+H"	544.348267	243.659805
"Cyclomarin D M+H"	572.344238	4249.666992
"Cyclomarin D M+H"	573.347473	1711.582031
"Cyclomarin D M+H"	574.351501	446.862915
"Cyclomarin D M+H"	576.374695	215.050598
"Cyclomarin D M+H"	580.343384	191.546707
"Cyclomarin D M+H"	582.365662	1795.488037
"Cyclomarin D M+H"	583.368347	830.859375
"Cyclomarin D M+H"	584.36908	219.460602
"Cyclomarin D M+H"	586.363586	197.196198
"Cyclomarin D M+H"	598.308899	255.706802
"Cyclomarin D M+H"	604.370483	6060.844238
"Cyclomarin D M+H"	605.374207	2748.675049
"Cyclomarin D M+H"	606.377136	534.126404
"Cyclomarin D M+H"	614.390686	1357.027954
"Cyclomarin D M+H"	615.394592	526.5177
"Cyclomarin D M+H"	616.393799	182.563995
"Cyclomarin D M+H"	618.404419	257.81369
"Cyclomarin D M+H"	648.412598	1114.63501
"Cyclomarin D M+H"	649.414185	631.718628
"Cyclomarin D M+H"	650.421448	160.707306
"Cyclomarin D M+H"	697.371582	664.122314
"Cyclomarin D M+H"	698.373535	423.139801
"Cyclomarin D M+H"	719.450134	697.106812
"Cyclomarin D M+H"	720.452881	469.387787
"Cyclomarin D M+H"	725.40509	164.413498
"Cyclomarin D M+H"	726.40802	205.711899
"Cyclomarin D M+H"	727.416687	156.778793
"Cyclomarin D M+H"	729.399963	178.889404
"Cyclomarin D M+H"	824.470642	541.290771
"Cyclomarin D M+H"	825.471436	479.012604
"Cyclomarin D M+H"	834.490723	229.251007
"Cyclomarin D M+H"	856.49585	774.678528
"Cyclomarin D M+H"	857.500061	588.962524
"Cyclomarin D M+H"	858.498535	177.735703
"Cyclomarin D M+H"	864.499268	484.874786
"Cyclomarin D M+H"	865.50238	389.200806
"Cyclomarin D M+H"	866.516357	597.030029
"Cyclomarin D M+H"	867.518555	358.47879
"Cyclomarin D M+H"	963.571228	4933.810059
"Cyclomarin D M+H"	964.573547	4153.624023
"Cyclomarin D M+H"	965.576782	1356.329956
"Cyclomarin D M+H"	966.580627	328.911713
"Cyclomarin D M+H"	978.583191	169.457001
"Cyclomarin D M+H"	995.597229	8372.931641
"Cyclomarin D M+H"	996.600281	7140.509766
"Cyclomarin D M+H"	997.604309	2492.903076
"Cyclomarin D M+H"	998.608459	552.21051
"Lyngbyabellin A M+H"	367.266785	3564
"Lyngbyabellin A M+H"	477.243958	1973
"Lyngbyabellin A M+H"	500.818115	4733
"Lyngbyabellin A M+H"	533.153687	3433
"Lyngbyabellin A M+H"	539.840088	2207
"Lyngbyabellin A M+H"	678.219482	9439
"Lyngbyabellin A M+H"	690.661865	6733
"Lyngbyabellin A M+H"	691.897827	167138
"Lyngbyabellin A M+H"	692.907227	116022
"Lyngbyabellin A M+H"	719.361328	2496
"Lyngbyabellin A M+H"	737.12561	8415
"Staurosporine M+H"	58.027966	20.01936
"Staurosporine M+H"	73.051628	72.116257
"Staurosporine M+H"	88.075836	1066.968018
"Staurosporine M+H"	89.079102	62.83535
"Staurosporine M+H"	130.086411	1223.583008
"Staurosporine M+H"	130.192551	25.012159
"Staurosporine M+H"	131.086716	107.174599
"Staurosporine M+H"	295.121155	247.741806
"Staurosporine M+H"	296.123016	61.600609
"Staurosporine M+H"	338.12912	1979.432983
"Staurosporine M+H"	338.298767	26.793751
"Staurosporine M+H"	339.133331	739.556274
"Staurosporine M+H"	340.134583	118.397003
"Bastimolide A M+H"	269.026978	15180
"Bastimolide A M+H"	315.060608	10499
"Bastimolide A M+H"	337.052979	23425
"Bastimolide A M+H"	359.146484	32239
"Bastimolide A M+H"	360.994934	31423
"Bastimolide A M+H"	362.879578	12211
"Bastimolide A M+H"	365.177124	16635
"Bastimolide A M+H"	376.949951	15486
"Bastimolide A M+H"	379.031982	11196
"Bastimolide A M+H"	445.103638	20779
"Bastimolide A M+H"	476.834961	12218
